"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01","1.96","16.1","24.2","32.2","16.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-02","1.71","12.8","32.4","40.3","24.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03","1.31","0.8","43.3","53.6","33.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04","3.35","2.5","48.3","59.2","37.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05","5.58","0.0","61.7","72.5","51.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06","7.31","0.0","68.6","78.7","58.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07","5.15","0.0","69.1","78.5","59.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08","4.73","0.0","70.2","80.2","60.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09","4.94","0.0","62.9","73.4","52.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10","3.20","0.0",,,"44.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11","1.81","4.3","39.4","45.7","33.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-12","4.86","40.5","18.7","25.5","11.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-01","1.33","6.8","26.1","32.0","20.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-02","3.52","6.2","29.0","35.8","22.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-03","1.24","11.3","34.1","42.8","25.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-04","2.94","2.7","51.0","62.3","39.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-05","4.71","0.0","61.1","71.5","50.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-06","4.13","0.0","68.5","78.5","58.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-07","1.41","0.0","72.9","84.7","61.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-08","2.98","0.0","73.3","83.7","63.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-09","4.19","0.0","61.7","72.0","51.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-10","7.63","0.1","52.3","61.7","42.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-11","2.15","0.0","47.5","56.0","38.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2001-12","2.14","8.8","35.0","40.7","29.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-01","3.41","25.4","32.4","39.3","25.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-02","2.27","10.8","32.6","41.0","24.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-03","2.14","6.3","34.5","43.8","25.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-04","3.63","0.5","49.4","59.4","39.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-05","3.28","0.0","55.1","66.4","43.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-06","1.13","0.0","71.0","82.8","59.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-07","3.66","0.0","76.1","88.1","64.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-08","2.85","0.0","72.6","83.2","61.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-09","2.41","0.0","68.5","80.8","56.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-10","1.61","0.0","50.1","59.4","40.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-11","2.57","4.1","38.5","45.0","31.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2002-12","1.86","12.6","28.6","34.9","22.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-01","0.94","13.8","20.2","26.5","13.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-02","1.99","20.6","23.0","31.4","14.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-03","3.12","9.6","36.3","47.6","24.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-04","3.09","5.0","48.4","60.5","36.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-05","4.69","0.0","56.9","67.5","46.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-06","2.28","0.0","66.5","77.5","55.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-07","2.93","0.0","71.8","82.6","61.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-08","3.72","0.0","72.2","82.5","61.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-09","4.29","0.0","62.6","72.6","52.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-10","2.52","0.0","50.9","60.9","40.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-11","3.76","1.4","43.8","52.4","35.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2003-12","2.51","7.2","32.0","38.0","26.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-01","2.23","23.3","19.0","26.3","11.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-02","0.74","4.8","27.9","36.2","19.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-03","3.64","9.9","40.3","48.1","32.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-04","0.49","0.9","51.0","63.1","38.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-05","7.78","0.0","61.7","72.9","50.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-06","3.42","0.0","67.0","77.6","56.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-07","4.31","0.0","71.2","81.4","61.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-08","2.93","0.0","68.0","77.8","58.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-09","0.78","0.0","67.4","79.1","55.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-10","2.02","0.0","53.3","62.2","44.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-11","2.98","2.9","42.2","49.4","35.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2004-12","3.86","16.3","28.7","35.3","22.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-01","4.46","29.2","23.7","31.4","16.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-02","3.47","14.4","28.7","35.9","21.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-03","1.38","14.7","33.2","42.2","24.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-04","2.04","6.5","51.3","63.1","39.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-05","1.80","0.1","56.4","67.6","45.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-06","3.87","0.0","73.5","84.6","62.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-07","6.73","0.0","74.4","85.1","63.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-08","1.29","0.0","74.4","84.6","64.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-09","2.94","0.0","68.0","79.5","56.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-10","0.17","0.0","54.0","63.5","44.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-11","4.47","7.8","42.7","51.5","33.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2005-12","2.75","24.5","25.5","30.0","21.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-01","4.32","8.4","34.9","40.5","29.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-02","3.11","8.8","29.4","37.2","21.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-03","2.46","1.9","37.6","46.9","28.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-04","3.87","0.0","52.3","64.2","40.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-05","5.67","0.0","59.9","70.5","49.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-06","2.96","0.0","68.1","78.9","57.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-07","5.22","0.0","74.6","84.7","64.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-08","3.62","0.0","72.4","82.1","62.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-09","5.16","0.0","61.6","70.5","52.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-10","4.57","0.5","49.4","58.5","40.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-11","2.79","1.6","42.1","49.5","34.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2006-12","3.80","4.4","36.4","42.3","30.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-01","4.31","10.4","29.1","35.0","23.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-02","1.32","15.3","19.6","26.7","12.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-03","3.52","10.2","41.1","50.8","31.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-04","2.63","3.9","47.2","57.5","36.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-05","3.19","0.0","62.8","75.9","49.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-06","2.93","0.0","70.8","82.6","58.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-07","3.26","0.0","71.1","82.5","59.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-08","5.79","0.0","73.1","82.8","63.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-09","0.90","0.0","66.3","78.2","54.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-10","2.25","0.0","59.0","68.7","49.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-11","2.31","3.2","38.9","46.0","31.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2007-12","4.37","15.6","28.2","33.5","23.0"
