"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01","3.22","9.5","31.3","37.8","24.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02","1.66","5.2","37.3","43.7","30.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03","3.34","0.4","47.2","55.0","39.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04","3.53","1.2","51.0","58.2","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05","4.50","0.0","63.5","71.7","55.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06","4.87","0.0","71.3","78.8","63.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07","7.28","0.0","72.3","79.0","65.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08","3.82","0.0","72.4","78.6","66.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09","5.82","0.0","66.0","72.9","59.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10","0.67","0.0","56.9","64.4","49.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11","3.54","0.0","45.3","50.9","39.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12","3.20","13.4","31.1","37.2","25.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01","3.16","8.3","33.6","38.8","28.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-02","1.95","9.5","35.9","43.2","28.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-03","7.48","3.8","39.6","45.6","33.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-04","1.58","0.0","53.9","62.8","45.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-05","2.03","0.0","63.6","71.5","55.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-06","5.30","0.0","72.9","80.3","65.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-07","2.04","0.0","73.1","81.0","65.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-08","2.56","0.0","78.7","86.5","70.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-09","5.30","0.0","67.7","75.3","60.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-10","0.66","0.0","58.5","66.3","50.7"
